"binder_name","binder_evolution_type","binder_target","binder_experiment","staining_0_nM","staining_0.1_nM","staining_1_nM","staining_10_nM","staining_100_nM","coculture CAR Only","coculture K562","coculture K562 BCMA OE","coculture K562 CD19 OE","coculture K562 CD22 OE","coculture Raji","coculture Raji CD19 OE","coculture Raji CD19 KO","coculture RPMI 8226","coculture Nalm6","coculture Nalm6 CD22 OE","coculture DG-75","coculture Ramos","coculture SET-2","coculture U937","coculture A549","coculture Hela","coculture MDA-MB-468","mean_BCMA_positive_activity","max_BCMA_negative_activity","mean_CD19_positive_activity","max_CD19_negative_activity","mean_CD22_positive_activity","max_CD22_negative_activity","BCMA_activity_gain","BCMA_activity_ratio","CD19_activity_gain","CD19_activity_ratio","CD22_activity_gain","CD22_activity_ratio","overall_activity_gain","overall_activity_ratio","overall_mean_positive_activity","overall_max_negative_activity","estimated_Kd","nls_kd","nls_kd_scaled","sp_kd","sp_kd_scaled","kd_fit_quality","kd_R2","Kd_estimate_nM_clipped","Kd_estimate_molar","neg_log10_Kd_M","clipped_neg_log10_Kd_M"
"BCMA_l59_int_1575","interface","BCMA","BCMA",1.71,1.36,36.2,97.9,100,42,38.8,88.5,NA,NA,89.6,NA,NA,93,NA,NA,89.7,84.2,40.6,42,31,37.2,38.9,89,42,NA,NA,NA,93,47,2.11904761904762,NA,NA,NA,NA,47,2.11904761904762,89,42,37.4471427864202,1.75537818717644,37.4471427864202,10.1634320735444,216.814527398388,"Good (Curve Fit)",0.989320074826357,1000,3.74471427864202e-08,7.42658131332978,7.42658131332978
"BCMA_l59_int_1793","interface","BCMA","BCMA",0.96,2.1,13.5,94.6,99.7,64.7,62.9,87.5,NA,NA,87.3,NA,NA,90.9,NA,NA,86.4,85.2,67.4,67.3,56.7,60.6,52,87.46,67.4,NA,NA,NA,90.9,22.76,1.35177743431221,NA,NA,NA,NA,22.76,1.35177743431221,87.46,67.4,71.6752172879275,3.35985882036336,71.6752172879275,10.8668076109937,231.819501469363,"Good (Curve Fit)",0.967077338496965,1000,7.16752172879275e-08,7.14463098178846,7.14463098178846
"BCMA_l59_int_wildtype","parental","BCMA","BCMA",1.53,2.08,53.6,99.6,100,19.2,20.4,88.9,NA,NA,88.5,NA,NA,91.7,NA,NA,85.9,79.5,20.6,19.4,16.1,19.4,20,86.9,20.6,NA,NA,NA,91.7,67.7,4.52604166666667,NA,NA,NA,NA,67.7,4.52604166666667,86.9,20.6,21.36169000994,1.00135395906018,21.36169000994,9.81927710843374,209.472736203019,"Good (Curve Fit)",0.990414298879791,1000,2.136169000994e-08,7.67036439148631,7.67036439148631
"BCMA_l59_nonint_0366","non-interface","BCMA","BCMA",0.87,1.88,70.2,99.7,99.7,19.2,16.5,54.1,NA,NA,23.9,NA,NA,56.3,NA,NA,20.3,24.9,17.7,19.2,18.6,20.6,18.6,35.9,20.6,NA,NA,NA,56.3,16.7,1.86979166666667,NA,NA,NA,NA,16.7,1.86979166666667,35.9,20.6,13.2434464982946,0.620801892382963,13.2434464982946,9.79939819458375,209.048663185126,"Good (Curve Fit)",0.978834747624275,1000,1.32434464982946e-08,7.87799897861157,7.87799897861157
"BCMA_l59_nonint_0465","non-interface","BCMA","BCMA",1.27,1.36,31.5,99.1,99.8,13.6,14.3,64.6,NA,NA,27.6,NA,NA,69.8,NA,NA,18.1,27.5,15.9,14.4,13.1,14.1,13.7,41.52,15.9,NA,NA,NA,69.8,27.92,3.05294117647059,NA,NA,NA,NA,27.92,3.05294117647059,41.52,15.9,42.7864186750249,2.00566292808791,42.7864186750249,9.91927346115036,211.605939022591,"Good (Curve Fit)",0.984270763885544,1000,4.27864186750249e-08,7.36869406347554,7.36869406347554
"BCMA_l59_nonint_0815","non-interface","BCMA","BCMA",1.25,2.17,53.3,99.4,100,11.2,9.37,82.9,NA,NA,67.6,NA,NA,86.2,NA,NA,65.3,61.2,11.3,10.3,9.32,9.72,10.4,72.64,11.3,NA,NA,NA,86.2,61.44,6.48571428571429,NA,NA,NA,NA,61.44,6.48571428571429,72.64,11.3,21.5313266393439,1.00930587252659,21.5313266393439,9.85915492957746,210.323442035693,"Good (Curve Fit)",0.990880846247824,1000,2.15313266393439e-08,7.66692921056683,7.66692921056683
"BCMA_l59_nonint_0840","non-interface","BCMA","BCMA",1.4,0.98,0.84,1.48,56.8,5.38,4.31,32.9,NA,NA,11.6,NA,NA,18.3,NA,NA,7.52,6.22,5.89,5.28,5.3,5.76,5.75,15.308,5.89,NA,NA,NA,18.3,9.928,2.8453531598513,NA,NA,NA,NA,9.928,2.8453531598513,15.308,5.89,28240.0229943817,NA,NA,1323.78378378378,28240.0229943817,"Compromise (Single Point Estimate)",NA,28240.0229943817,2.82400229943817e-05,4.54913495399668,6
"BCMA_l59_nonint_1083","non-interface","BCMA","BCMA",1.27,1.98,51.1,99.8,100,31.3,29.2,84.6,NA,NA,52.7,NA,NA,90.3,NA,NA,58.2,71.1,31.8,32.6,30,31.3,42.8,71.38,42.8,NA,NA,NA,90.3,40.08,2.28051118210863,NA,NA,NA,NA,40.08,2.28051118210863,71.38,42.8,23.1296699459961,1.08423006613246,23.1296699459961,9.77955911823647,208.62544001296,"Good (Curve Fit)",0.990666052779435,1000,2.31296699459961e-08,7.63583056444751,7.63583056444751
"BCMA_l59_nonint_1192","non-interface","BCMA","BCMA",1.28,2.54,73.4,99.9,99.9,23.7,22.2,90.1,NA,NA,82.8,NA,NA,94.2,NA,NA,85.9,84.4,23.6,23.2,23.1,24.3,22.9,87.48,24.3,NA,NA,NA,94.2,63.78,3.69113924050633,NA,NA,NA,NA,63.78,3.69113924050633,87.48,24.3,12.1408061059222,0.569114346977706,12.1408061059222,9.75975975975976,208.203064134433,"Good (Curve Fit)",0.976430048741836,1000,1.21408061059222e-08,7.91575247670958,7.91575247670958
"BCMA_l59_nonint_1399","non-interface","BCMA","BCMA",0.5,1.27,0.23,32,98.7,74.7,72.3,74.6,NA,NA,76.7,NA,NA,77.5,NA,NA,75.3,72.6,72.1,72.4,63.8,64.9,65.2,75.34,74.7,NA,NA,NA,77.5,0.639999999999986,1.00856760374833,NA,NA,NA,NA,0.639999999999986,1.00856760374833,75.34,74.7,670.134530842074,31.4133322433477,670.134530842074,51.6875,1102.63942375088,"Good (Curve Fit)",0.997837257120212,1000,6.70134530842074e-07,6.17383800306425,6.17383800306425
