binder_id,CD19_M1F_R1,CD19_M1F_R2,CD19_M1_R1,CD19_M1_R2,CD19_M2F_R1,CD19_M2F_R2,CD19_M2_R1,CD19_M2_R2,CD19_M3F_R1,CD19_M3F_R2,CD19_parental_R1,CD19_parental_R2,CD19_parental_mean,CD19_M1_mean,CD19_M2_mean,CD19_M1F_mean,CD19_M2F_mean,CD19_M3F_mean,binder_name
i33_48_dldesign_1,64.6112,831.527,152.184,9.07617,99.5886,4.53248,145.852,1257.8,112.778,287.322,124271.0,100281.0,112276.0,80.630085,701.826,448.06910000000005,52.06054,200.05,i33_48_dldesign_1
i33_71_dldesign_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i33_71_dldesign_5
i34_20_dldesign_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i34_20_dldesign_7
i35_22_dldesign_3,7.17902,14.1223,13482.8,3997.4,29.8419,1.77315,32135.8,389.319,12.3064,242.547,5.82036,15.9005,10.86043,8740.1,16262.5595,10.65066,15.807525,127.4267,i35_22_dldesign_3
i35_43_dldesign_8,6.15104,5.39101,7784.4,1.90329,16.7652,1.25244,18616.4,258.55,8.80499,7.9401,3.42787,7.89036,5.659115,3893.151645,9437.475,5.771025,9.00882,8.372545,i35_43_dldesign_8
i35_85_dldesign_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i35_85_dldesign_9
i35_96_dldesign_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i35_96_dldesign_7
i36_10_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i36_10_dldesign_0
i36_76_dldesign_0,992.611,90.1673,7820.07,4.97784,9.99466,0.684927,19.122,124.366,4.75469,4.34815,1.82106,5.52325,3.672155,3912.5239199999996,71.744,541.38915,5.3397935,4.55142,i36_76_dldesign_0
i37_16_dldesign_0,10.2664,38.9083,1315.74,42.3439,17.4399,16.2354,38.4658,226.382,7.77492,10.7828,13478.7,3770.78,8624.74,679.04195,132.4239,24.58735,16.83765,9.27886,i37_16_dldesign_0
i37_30_dldesign_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i37_30_dldesign_7
i37_64_dldesign_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i37_64_dldesign_2
i37_72_dldesign_0,1633.79,1.03148,8431.54,7450.18,990.427,4.21302,129.377,980.957,34.8413,40.9565,16.8746,60.4672,38.6709,7940.860000000001,555.167,817.41074,497.32001,37.8989,i37_72_dldesign_0
i39_42_dldesign_2,6.75011,0.301633,15727.6,1343.78,19.8591,1.17964,15360.8,356.711,9.42764,12.3363,4.36411,13.8686,9.116355,8535.69,7858.755499999999,3.5258715,10.51937,10.881969999999999,i39_42_dldesign_2
i3_20_dldesign_8,5.26297,22.6211,3236.39,5900.48,13.3993,0.913036,29.6043,240.36,10.3645,7.92064,3.5885,12.9689,8.2787,4568.4349999999995,134.98215000000002,13.942034999999999,7.156168,9.14257,i3_20_dldesign_8
i3_82_dldesign_1,6.88082,2.27268,16958.6,1.21309,9.34984,0.557726,14.4581,155.457,30.6413,5.10435,2.0353,5.36545,3.700375,8479.906545,84.95755,4.57675,4.9537830000000005,17.872825,i3_82_dldesign_1
i40_65_dldesign_0,96.7174,135.996,21.6898,16.5304,1595.38,410.489,61847.7,29249.3,324262.0,260997.0,7862.06,7616.35,7739.205,19.110100000000003,45548.5,116.3567,1002.9345000000001,292629.5,i40_65_dldesign_0
i40_98_dldesign_0,816.346,80.5312,2817.32,18.9539,9866.43,25909.7,27.3163,164.207,454.683,166.576,2.03656,4.22627,3.1314150000000005,1418.13695,95.76165,448.4386,17888.065000000002,310.6295,i40_98_dldesign_0
i41_12_dldesign_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i41_12_dldesign_5
i41_170_dldesign_0,99.0703,48.8616,3747.04,35928.6,18.9564,19.3923,1143.38,342.761,11.3633,12.642,12490.9,9916.4,11203.65,19837.82,743.0705,73.96595,19.174349999999997,12.00265,i41_170_dldesign_0
i47_295_dldesign_0,1.71106,8.1436,12103.3,8.87205,4.29679,5.41181,15905.9,108115.0,2.09325,1.30138,1324.47,1.16222,662.81611,6056.086025,62010.45,4.9273299999999995,4.8543,1.697315,i47_295_dldesign_0
i47_37_dldesign_0,696708.0,716279.0,38369.8,10957.8,799803.0,869776.0,151027.0,78157.5,659222.0,727698.0,3423.54,1323.56,2373.55,24663.800000000003,114592.25,706493.5,834789.5,693460.0,i47_37_dldesign_0
i48_282_dldesign_0,0.684424,5.42907,2726.06,2.82293,1.76927,2.25492,2.2299,33.479,0.897106,0.743645,277.414,0.422627,138.91831349999998,1364.4414649999999,17.85445,3.056747,2.012095,0.8203754999999999,i48_282_dldesign_0
i49_25_dldesign_3,0.642897,1.18391,5457.01,0.318462,1.73499,0.189269,2.36773,56.372,2.20412,1.60627,0.44772,1.42926,0.93849,2728.664231,29.369865,0.9134035,0.9621295,1.905195,i49_25_dldesign_3
i49_47_dldesign_6,0.0,0.00269315,0.0,0.0,0.0,0.0105325,0.604564,2.28661,0.204949,0.0,497.8,0.0,248.9,0.0,1.445587,0.001346575,0.00526625,0.1024745,i49_47_dldesign_6
i49_63_dldesign_1,55.6094,192.129,21.9521,196.395,88.4633,84.7851,206.823,1275.39,150.265,52.427,69142.2,60344.2,64743.2,109.17355,741.1065000000001,123.86919999999999,86.6242,101.34599999999999,i49_63_dldesign_1
i49_89_dldesign_4,0.0981902,0.0768772,31.0053,0.0387128,0.903217,0.038456,0.469675,5.03055,0.169123,0.0,586.331,135.916,361.12350000000004,15.522006399999999,2.7501124999999997,0.0875337,0.47083650000000005,0.0845615,i49_89_dldesign_4
i4_6_dldesign_0,2973.31,173.429,1677.88,28.6325,3.03303,1.20262,4.4598,22.3193,0.897106,0.371822,0.0885459,0.63394,0.36124294999999995,853.25625,13.38955,1573.3695,2.117825,0.6344639999999999,i4_6_dldesign_0
i50_283_dldesign_0,0.171106,0.60323,787.513,2.01638,0.505504,0.450984,0.0,4.78271,0.149518,0.185911,0.0,0.422627,0.2113135,394.76469000000003,2.391355,0.387168,0.478244,0.1677145,i50_283_dldesign_0
i50_78_dldesign_2,3220.92,1401.16,12846.3,3507.36,55.8668,3.08807,14346.1,618.33,179.085,23.8933,11.4169,29.6571,20.537,8176.83,7482.215,2311.04,29.477435,101.48915000000001,i50_78_dldesign_2
i51_104_dldesign_0,21.9016,89.278,709.369,42178.9,33.1105,37.8827,89.7535,529.287,15.8489,26.2135,11748.1,13896.3,12822.2,21444.1345,309.52025000000003,55.589800000000004,35.4966,21.0312,i51_104_dldesign_0
i51_46_dldesign_8,0.214299,1.26847,2518.17,0.0909891,1.38799,0.0896535,5532.92,21.1395,2.02045,2.00784,0.89544,0.357315,0.6263775,1259.13049455,2777.02975,0.7413845,0.73882175,2.014145,i51_46_dldesign_8
i51_7_dldesign_4,5.79322,4.57419,27358.6,685.003,24.6879,1.3748,34.7559,332.016,10.3165,13.2173,5.40171,14.8306,10.116155,14021.8015,183.38595,5.183705,13.03135,11.7669,i51_7_dldesign_4
i52_34_dldesign_0,1.3805,0.634237,0.760633,0.767466,3.51682,0.155311,21614.2,70.2567,2.48244,1.68553,3053.23,3.68494,1528.45747,0.7640495,10842.228350000001,1.0073685000000001,1.8360655000000001,2.083985,i52_34_dldesign_0
i53_51_dldesign_3,0.0,2.71453,0.138063,2.41965,1.01101,0.751641,2.78738,11.1597,0.149518,0.557734,1491.29,4.12061,747.705305,1.2788564999999998,6.973540000000001,1.357265,0.8813255,0.353626,i53_51_dldesign_3
i53_72_dldesign_2,110.51,126.213,89.4674,43.0228,402.043,21.585,621.698,4339.71,264.678,304.181,162856.0,172544.0,167700.0,66.2451,2480.704,118.3615,211.814,284.42949999999996,i53_72_dldesign_2
i53_8_dldesign_4,12.5737,0.0242383,1647.05,0.154276,1.4443,0.0737278,6456.75,16.0063,0.819795,0.986905,0.436411,0.832118,0.6342645,823.602138,3236.37815,6.2989691500000005,0.7590138999999999,0.9033500000000001,i53_8_dldesign_4
i54_10_dldesign_0,4371.58,11444.8,4063.62,8288.92,7.07706,9.47067,35303.8,140.293,4.78457,75.294,2.03656,3.69798,2.86727,6176.27,17722.0465,7908.19,8.273865,40.039285,i54_10_dldesign_0
i54_15_dldesign_7,0.684424,3.92099,4670.4,0.80655,2.27477,2.85623,3.90233,27.102,1.34566,0.557734,0.531276,0.422627,0.4769515,2335.603275,15.502165,2.3027070000000003,2.5655,0.951697,i54_15_dldesign_7
i54_22_dldesign_5,1.0715,1.01478,3017.35,0.159231,3.46999,0.1295,5.20901,29.9476,1.10206,1.60627,0.78351,1.78657,1.28504,1508.7546155,17.578305,1.04314,1.7997450000000002,1.354165,i54_22_dldesign_5
i55_32_dldesign_7,122.207,761.477,5363.54,1.94548,12545.2,882.555,36.8389,307.791,198.792,73.1228,5.70689,18.9492,12.328045,2682.74274,172.31495,441.842,6713.8775000000005,135.9574,i55_32_dldesign_7
i57_29_dldesign_8,5.88827,0.263579,3718.73,3.3965,16.0803,1.00935,962.818,269.622,231.707,12.5536,21353.7,10447.3,15900.5,1861.06325,616.22,3.0759245,8.544825000000001,122.13029999999999,i57_29_dldesign_8
i57_52_dldesign_1,1029.83,58.5612,6170.3,1579.96,180.226,9.86295,280.301,2246.76,79.7732,95.4702,70843.0,69615.3,70229.15,3875.13,1263.5305,544.1956,95.044475,87.6217,i57_52_dldesign_1
i57_71_dldesign_8,1.50009,3.3826,2050.02,353.811,10.063,0.298845,6825.23,72.2266,2.75515,2.20862,0.89544,3.93046,2.41295,1201.9155,3448.7282999999998,2.441345,5.1809225,2.481885,i57_71_dldesign_8
i57_9_dldesign_4,428.62,744.385,12623.4,27.826,13.6486,12.1766,16994.1,210.439,6.13022,7.80827,2.39074,4.96586,3.6783,6325.612999999999,8602.269499999999,586.5025,12.912600000000001,6.969245,i57_9_dldesign_4
i58_102_dldesign_0,39.8677,51.5761,29013.9,1084.41,25.0225,24.5035,54.6326,373.052,12.1109,11.7124,3.89602,9.08647,6.491245,15049.155,213.84230000000002,45.7219,24.762999999999998,11.911650000000002,i58_102_dldesign_0
i58_20_dldesign_9,14899.5,668.985,29260.5,2362.95,26008.1,5720.81,31822.3,1240.87,1808.94,493.682,24.5532,70.586,47.5696,15811.725,16531.585,7784.2425,15864.455,1151.3110000000001,i58_20_dldesign_9
i58_21_dldesign_0,5.30428,21.113,3441.5,192.765,10.6156,11.1243,22.8565,64729.3,2.84084,5.0196,1.59383,2.74707,2.1704499999999998,1817.1325,32376.078250000002,13.208639999999999,10.86995,3.93022,i58_21_dldesign_0
i58_325_dldesign_0,0.342212,0.60323,0.138063,2.01638,0.505504,1.0523,0.557475,12.7539,0.598071,0.185911,1544.51,0.528283,772.5191415,1.0772214999999998,6.6556875,0.47272100000000006,0.778902,0.391991,i58_325_dldesign_0
i58_82_dldesign_4,313.081,372.206,3195.08,3587.6,22.3084,2.08827,61.5479,452.526,13.3396,15.2339,7.09882,29.9311,18.514960000000002,3391.34,257.03695,342.6435,12.198335,14.286750000000001,i58_82_dldesign_4
i58_98_dldesign_1,0.132355,0.018852,1122.25,0.154276,1.80537,0.0737278,2.41826,20.5795,0.0,1.48036,0.290941,1.66424,0.9775905,561.202138,11.49888,0.0756035,0.9395488999999999,0.74018,i58_98_dldesign_1
i59_3_dldesign_6,0.312765,0.369971,1219.53,0.125492,1.61204,0.0489233,2.79834,16.3639,0.352199,0.56715,2454.04,286.894,1370.467,609.8277459999999,9.58112,0.341368,0.83048165,0.4596745,i59_3_dldesign_6
i5_31_dldesign_0,2.39548,8.1436,3542.84,4.43603,3.53853,4.66017,6.13223,39.856,0.897106,1.30138,0.44273,0.845253,0.6439915,1773.638015,22.994115,5.269539999999999,4.09935,1.099243,i5_31_dldesign_0
i5_33_dldesign_0,10.6086,47.3535,25450.0,49.1996,16.6816,20.144,66.897,280.586,8.37299,7.99418,3.45329,8.02991,5.7416,12749.5998,173.7415,28.981049999999996,18.412799999999997,8.183585,i5_33_dldesign_0
i60_11_dldesign_6,42.092,156.84,3583.71,77487.7,58.6385,74.4124,25903.7,100816.0,29.1559,40.9005,1678.65,5943.08,3810.865,40535.705,63359.85,99.46600000000001,66.52545,35.0282,i60_11_dldesign_6
i60_61_dldesign_3,0.834039,1.16277,4344.69,0.271899,5.15853,0.0978467,7.92863,54.0009,2.1132,2.83575,0.642726,1.89369,1.268208,2172.4809495,30.964765,0.9984045,2.62818835,2.474475,i60_61_dldesign_3
