binder_id,BCMA_M100-CD22_1,BCMA_M100-CD22_2,BCMA_M1000_1,BCMA_M1000_2,BCMA_M100_1,BCMA_M100_2,BCMA_M500_1,BCMA_Parental_1,BCMA_Parental_2,BCMA_parental_mean,BCMA_M1000_mean,BCMA_M500_mean,BCMA_M100_mean
BCMA_l56_s599110_mpnn11,1365.2,4272.07,1721.37,1859.01,0.407053,0.294217,1043.39,9392.78,9623.92,9508.35,1790.19,1043.39,0.35063500000000003
BCMA_l56_s599110_mpnn7,0.0,1708.83,80.1464,75.8585,0.316597,0.336248,34.1601,8478.38,7877.2,8177.789999999999,78.00245000000001,34.1601,0.3264225
BCMA_l56_s697761_mpnn1,11376.7,24778.0,17214.5,17789.9,8649.25,9319.82,20051.6,4653.49,4577.76,4615.625,17502.2,20051.6,8984.535
BCMA_l56_s697761_mpnn2,17747.6,19224.3,19657.4,20013.0,6654.83,6938.77,17000.1,4787.34,4480.24,4633.79,19835.2,17000.1,6796.8
BCMA_l56_s757742_mpnn3,455.066,5126.49,12.6628,11.3725,0.316597,0.336248,1.73477,6794.93,6869.18,6832.055,12.01765,1.73477,0.3264225
BCMA_l56_s793649_mpnn2,910.133,427.207,36.0324,36.9503,133.378,162.029,0.021417,2827.47,2605.5,2716.4849999999997,36.49135,0.021417,147.7035
BCMA_l56_s793649_mpnn3,3185.46,1708.83,1324.91,1317.34,0.226141,0.42031,1555.41,7373.04,6843.87,7108.455,1321.125,1555.41,0.3232255
BCMA_l57_s231938_mpnn11,870.562,2039.58,172.478,165.918,512.053,562.407,88.2168,6686.06,6466.23,6576.145,169.198,88.2168,537.23
BCMA_l57_s231938_mpnn5,0.0,815.833,445.398,442.542,0.0,0.0,20.2315,1383.72,1402.47,1393.095,443.97,20.2315,0.0
BCMA_l57_s342005_mpnn1,1305.84,0.0,1.63604,1.96329,1901.42,1925.25,0.0,1381.75,1342.36,1362.0549999999998,1.799665,0.0,1913.335
BCMA_l57_s342005_mpnn3,435.281,0.0,490.464,496.352,0.454472,0.291295,311.677,5519.3,5355.31,5437.305,493.408,311.677,0.37288350000000003
BCMA_l57_s5172_mpnn1,435.281,407.917,63.5575,61.3429,0.181789,0.124841,68.7538,9635.33,9650.71,9643.02,62.450199999999995,68.7538,0.153315
BCMA_l57_s5172_mpnn2,0.0,0.0,0.0,0.0400672,0.0,0.0,0.0207715,456.834,430.435,443.6345,0.0200336,0.0207715,0.0
BCMA_l57_s663468_mpnn1,8705.62,4079.17,7053.2,7147.46,1.27252,1.33163,6392.05,7075.07,6846.72,6960.895,7100.33,6392.05,1.302075
BCMA_l57_s663468_mpnn3,435.281,0.0,127.512,117.798,2.63594,2.78811,65.8873,917.206,883.332,900.269,122.655,65.8873,2.712025
BCMA_l57_s687965_mpnn2,0.0,0.0,64.202,67.994,0.0,0.124841,30.0772,2706.8,2677.33,2692.065,66.098,30.0772,0.0624205
BCMA_l57_s914051_mpnn9,435.281,0.0,885.492,895.021,629.671,626.992,781.799,6686.11,6247.65,6466.879999999999,890.2565,781.799,628.3315
BCMA_l58_s147034_mpnn1,1251.43,2341.76,239.019,220.716,0.305767,0.279523,0.364645,10563.6,10862.6,10713.1,229.8675,0.364645,0.29264500000000004
BCMA_l58_s147034_mpnn3,834.288,780.586,304.144,270.993,19.0449,22.6014,1329.21,2016.07,1967.82,1991.945,287.5685,1329.21,20.82315
BCMA_l58_s153508_mpnn1,0.0,0.0,0.0486008,0.0765842,0.0,0.0399318,0.0,850.189,856.587,853.3879999999999,0.0625925,0.0,0.0199659
BCMA_l58_s153508_mpnn9,0.0,1170.88,13.9484,10.3006,0.174724,0.359386,10.4126,3195.92,3089.81,3142.865,12.1245,10.4126,0.267055
BCMA_l58_s204780_mpnn10,0.0,5073.81,0.729012,1.37852,0.087362,0.119795,72.22,7151.18,6487.68,6819.43,1.053766,72.22,0.10357849999999999
BCMA_l58_s298275_mpnn2,50474.4,37077.8,57153.4,58853.5,100266.0,108904.0,37735.2,9294.56,9235.8,9265.18,58003.45,37735.2,104585.0
BCMA_l58_s413770_mpnn13,0.0,2341.76,0.0486008,0.0,0.0,0.159727,0.0,975.864,938.264,957.0640000000001,0.0243004,0.0,0.0798635
BCMA_l58_s484516_mpnn2,417.144,8196.15,1575.93,1274.82,0.0,0.0399318,1702.31,1010.79,912.157,961.4735000000001,1425.375,1702.31,0.0199659
BCMA_l58_s518864_mpnn1,2085.72,1951.46,664.859,623.548,0.0,0.119795,181.877,3942.14,3650.75,3796.4449999999997,644.2035000000001,181.877,0.0598975
BCMA_l58_s518864_mpnn2,1668.58,0.0,286.502,272.984,0.0,0.319454,85.4283,2251.58,2096.39,2173.9849999999997,279.743,85.4283,0.159727
BCMA_l58_s790689_mpnn1,417.144,1170.88,1428.86,1411.94,0.0,0.0399318,313.392,2962.91,2773.06,2867.9849999999997,1420.4,313.392,0.0199659
BCMA_l58_s790689_mpnn2,0.0,0.0,97.7362,92.8966,0.218405,0.0399318,0.0,1066.29,946.292,1006.2909999999999,95.3164,0.0,0.1291684
BCMA_l58_s7906_mpnn4,0.0,0.0,0.0,0.0,0.218405,0.119795,0.0,1443.08,1325.93,1384.505,0.0,0.0,0.1691
BCMA_l59_s561726_mpnn1,20823.8,19080.6,24786.2,25969.0,58875.2,61045.3,22441.4,5362.38,5307.72,5335.05,25377.6,22441.4,59960.25
BCMA_l59_s855971_mpnn1,400.458,2618.9,150.195,138.562,2025.07,2115.87,243.207,138.392,121.644,130.018,144.3785,243.207,2070.47
BCMA_l59_s855971_mpnn3,0.0,0.0,56.7383,56.284,0.0,0.0,384.536,27.9868,27.1799,27.58335,56.51115,384.536,0.0
BCMA_l59_s903443_mpnn1,400.458,0.0,203.566,220.768,845.717,877.971,113.055,72.56,70.7868,71.6734,212.167,113.055,861.844
BCMA_l59_s903443_mpnn2,17219.7,7482.58,10268.3,9992.17,36480.0,38390.9,11718.0,1950.71,1817.13,1883.92,10130.235,11718.0,37435.45
BCMA_l60_s290304_mpnn7,385.056,359.251,0.0442466,0.0,0.0405776,0.0358513,0.0186659,2005.41,1771.11,1888.26,0.0221233,0.0186659,0.03821445
BCMA_l60_s318546_mpnn14,13862.0,7544.26,18841.4,19438.8,31.123,43.4518,24105.6,23245.7,24849.1,24047.4,19140.1,24105.6,37.2874
BCMA_l60_s318546_mpnn2,1155.17,7903.51,196.278,194.295,49.8293,51.0881,95.0841,8828.07,8895.04,8861.555,195.2865,95.0841,50.4587
BCMA_l60_s451103_mpnn13,0.0,2874.0,2.03534,2.25722,0.284043,0.107554,2.53856,4883.88,4851.43,4867.655000000001,2.14628,2.53856,0.1957985
BCMA_l60_s542430_mpnn1,11551.7,22632.8,15996.1,16789.9,48574.7,48837.2,13717.8,3321.15,3271.57,3296.36,16393.0,13717.8,48705.95
BCMA_l60_s542430_mpnn3,6160.9,6825.76,5639.76,5643.57,8806.56,9011.01,6636.78,2573.96,2516.34,2545.15,5641.665,6636.78,8908.785
BCMA_l60_s719112_mpnn1,56603.3,53169.1,26144.1,27430.7,78752.3,80031.5,31458.0,6595.84,6766.12,6680.98,26787.4,31458.0,79391.9
BCMA_l60_s719112_mpnn2,8856.29,7903.51,12938.8,12477.7,12214.7,12018.6,14508.7,6539.07,5921.12,6230.094999999999,12708.25,14508.7,12116.650000000001
BCMA_l60_s74483_mpnn8,0.0,2514.75,0.619452,0.520897,0.0405776,0.0358513,4.96513,2298.45,2228.9,2263.675,0.5701745,4.96513,0.03821445
BCMA_l60_s880275_mpnn3,0.0,0.0,37.8308,42.8872,0.0811552,0.179257,56.6884,4872.12,4775.65,4823.885,40.359,56.6884,0.1302061
BCMA_l61_s10456_mpnn3,1853.97,2764.08,140.744,116.614,0.19227,0.23664,57.0093,8229.83,8262.26,8246.045,128.679,57.0093,0.214455
BCMA_l61_s2373_mpnn5,12977.8,5182.65,9337.09,9443.14,26779.5,26283.6,10183.6,2298.69,2266.65,2282.67,9390.115,10183.6,26531.55
BCMA_l61_s2373_mpnn8,8528.28,6564.7,5694.72,5532.46,17745.5,18142.2,5981.75,3088.73,2811.2,2949.965,5613.59,5981.75,17943.85
BCMA_l61_s23834_mpnn11,1112.38,691.021,259.874,251.082,0.19227,0.169029,316.067,7028.64,7040.66,7034.65,255.478,316.067,0.18064950000000002
BCMA_l61_s440343_mpnn11,1483.18,345.51,135.763,134.144,357.353,389.341,30.5739,9633.39,9383.22,9508.305,134.95350000000002,30.5739,373.347
BCMA_l61_s460170_mpnn8,0.0,1036.53,486.44,439.661,50.1056,49.9311,317.155,5330.5,5283.4,5306.95,463.0505,317.155,50.01835
BCMA_l61_s460170_mpnn9,13348.6,8983.27,8560.34,5881.91,5274.05,5569.9,12147.2,3020.98,2863.39,2942.185,7221.125,12147.2,5421.975
BCMA_l61_s550568_mpnn3,17056.6,16239.0,52747.8,50824.2,540.279,548.836,1734.77,3773.86,3661.09,3717.4750000000004,51786.0,1734.77,544.5575
BCMA_l61_s550568_mpnn5,5932.72,2418.57,6090.95,6082.97,409.036,427.237,7901.65,5090.09,4656.72,4873.405000000001,6086.96,7901.65,418.1365
BCMA_l62_s160084_mpnn7,0.0,3660.61,87.4247,82.0783,0.0389453,0.160994,0.0,5446.5,5147.41,5296.955,84.7515,0.0,0.09996965
BCMA_l62_s183346_mpnn4,0.0,332.782,0.0,0.0,0.0,0.0,0.0,863.605,808.237,835.921,0.0,0.0,0.0
BCMA_l62_s255865_mpnn16,8581.25,5990.08,18899.3,18779.1,831.988,779.823,568.907,591.256,578.817,585.0364999999999,18839.199999999997,568.907,805.9055000000001
BCMA_l62_s336460_mpnn7,357.552,3993.39,1.40296,0.494076,0.0,0.0643976,69.4693,1646.51,1674.33,1660.42,0.948518,69.4693,0.0321988
BCMA_l62_s694444_mpnn2,0.0,4326.17,82.7749,67.6882,0.0,0.0965964,28.8614,2992.38,2826.82,2909.6000000000004,75.23155,28.8614,0.0482982
BCMA_l62_s694444_mpnn3,0.0,0.0,0.521101,0.339831,0.0,0.0321988,2.56352,579.956,475.619,527.7875,0.430466,2.56352,0.0160994
BCMA_l62_s854335_mpnn1,11084.1,4991.74,14605.2,13881.1,5319.81,5251.21,22149.3,14857.5,14255.8,14556.65,14243.150000000001,22149.3,5285.51
BCMA_l62_s854335_mpnn2,0.0,1996.69,848.713,768.596,4821.93,4711.55,821.334,898.676,848.537,873.6065000000001,808.6545,821.334,4766.74
BCMA_l63_s483494_mpnn8,345.223,3530.55,31.8804,29.9014,0.228714,0.030759,0.0,6619.2,6535.94,6577.57,30.890900000000002,0.0,0.1297365
BCMA_l63_s872964_mpnn13,0.0,1925.75,99.1662,89.7334,0.114357,0.123036,37.1513,6485.03,4319.66,5402.344999999999,94.44980000000001,37.1513,0.11869650000000001
BCMA_l63_s872964_mpnn7,1380.89,320.959,4.49347,4.46026,0.0,0.0,0.0,1558.7,1749.25,1653.975,4.476865,0.0,0.0
BCMA_l63_s890300_mpnn4,0.0,0.0,230.794,242.967,0.0,0.0,115.371,1341.52,1297.58,1319.55,236.8805,115.371,0.0
BCMA_l63_s890300_mpnn6,2761.78,0.0,1901.2,1847.81,0.190595,0.0,1496.6,2793.69,2795.2,2794.4449999999997,1874.505,1496.6,0.0952975
BCMA_l63_s961592_mpnn20,27272.6,21504.2,32212.1,32233.5,1126.57,1050.88,32360.2,21410.9,22977.3,22194.1,32222.8,32360.2,1088.725
BCMA_l63_s961592_mpnn9,7940.12,11554.5,6964.96,6743.65,20230.8,18414.8,9878.08,2765.77,2726.49,2746.13,6854.305,9878.08,19322.8
BCMA_l64_s257143_mpnn10,0.0,2169.63,1738.8,1669.34,4511.79,4378.91,1979.38,438.496,419.7,429.09799999999996,1704.07,1979.38,4445.35
BCMA_l64_s257143_mpnn2,1001.15,3099.47,2746.52,2602.59,9797.75,9042.34,3755.6,3302.06,2933.87,3117.965,2674.5550000000003,3755.6,9420.045
BCMA_l64_s348329_mpnn1,1668.58,0.0,380.545,325.466,2608.41,2427.26,1800.88,2857.75,2619.58,2738.665,353.0055,1800.88,2517.835
BCMA_l64_s348329_mpnn2,333.715,0.0,10.1831,9.64201,0.185436,0.0905525,42.8646,1249.08,1243.3,1246.19,9.912555000000001,42.8646,0.13799424999999998
BCMA_l64_s586270_mpnn9,7341.74,7438.72,2044.2,1996.18,446.455,400.816,359.634,15293.3,15823.1,15558.2,2020.19,359.634,423.6355
BCMA_l64_s643480_mpnn2,0.0,0.0,2.2629,1.97949,0.0,0.0,0.0342916,1136.79,1133.87,1135.33,2.121195,0.0342916,0.0
BCMA_l64_s745494_mpnn3,2002.29,4959.15,10764.3,9944.84,2426.83,2251.53,9900.53,4306.51,4302.3,4304.405000000001,10354.57,9900.53,2339.1800000000003
BCMA_l64_s766805_mpnn1,6340.59,19216.7,12219.4,12231.4,27535.1,26120.8,15752.6,4209.89,4533.54,4371.715,12225.4,15752.6,26827.949999999997
BCMA_l64_s766805_mpnn3,31703.0,22006.2,35853.7,35392.9,68234.6,62691.5,34104.2,10041.7,10315.0,10178.35,35623.3,34104.2,65463.05
BCMA_l64_s792375_mpnn1,4338.3,6508.88,4739.19,4684.84,9177.17,8355.16,4367.33,993.052,1017.69,1005.3710000000001,4712.014999999999,4367.33,8766.165
BCMA_l64_s814818_mpnn1,38043.5,40913.0,50472.3,50771.2,49429.9,46570.7,52015.9,13398.0,13695.3,13546.65,50621.75,52015.9,48000.3
BCMA_l64_s888556_mpnn10,667.431,2479.57,63.529,69.1224,0.0370871,0.211289,149.254,5791.89,6348.58,6070.235000000001,66.3257,149.254,0.12418805
BCMA_l64_s888556_mpnn20,1668.58,3409.41,4239.76,4260.75,1581.69,1472.9,6231.1,24667.6,27810.4,26239.0,4250.255,6231.1,1527.295
