binder_name,binder_evolution_type,binder_target,binder_experiment,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture K562 CD19 OE,coculture K562 CD22 OE,coculture Raji,coculture Raji CD19 OE,coculture Raji CD19 KO,coculture RPMI 8226,coculture Nalm6,coculture Nalm6 CD22 OE,coculture DG-75,coculture Ramos,coculture SET-2,coculture U937,coculture A549,coculture Hela,coculture MDA-MB-468
CD22_l61_nonint_1279,non-interface,CD22,CD22,0.74,38.5,96.7,97.8,,15.3,14.5,,,19.1,24,,,27.3,14.3,22,,,,,,,
CD22_l61_nonint_3278,non-interface,CD22,CD22,0.56,0.73,2.65,67.9,,5.35,5.15,,,4.64,24.3,,,16.5,4.87,5.29,,,,,,,
CD22_l61_int_0508,interface,CD22,CD22,1.28,1.01,4.26,83.4,,11.2,10,,,8.94,17.2,,,16.2,8.79,9.59,,,,,,,
CD22_l61_int_0469,interface,CD22,CD22,0.43,0.24,1.11,45.2,,6.77,32,,,41.3,74.4,,,65.9,21.5,23.6,,,,,,,
CD22_l61_int_1846,interface,CD22,CD22,0.89,1.02,1.25,48.5,,11.6,35,,,38.9,72.2,,,72,27.8,28.5,,,,,,,
CD22_l61_int_4515,interface,CD22,CD22,0.4,0.81,2.05,71.2,,5.29,4.51,,,4.14,14.1,,,14.2,4.25,4.26,,,,,,,
CD22_l61_int_4308,interface,CD22,CD22,1.23,0.63,2.41,65,,1.55,4.51,,,1.5,14.1,,,14.2,4.25,4.26,,,,,,,
CD19_l112_UTD,neg_control,CD19,CD19_l112,0.21,0.18,0.17,0.16,0.26,0.65,0.87,,2.81,,4.52,,4.31,,,,1.07,0.71,,,,,
CD19_l112_NB,neg_control,CD19,CD19_l112,0.1,0.16,0.18,0.25,0.22,5.44,8.66,,15.5,,24.2,,25.5,,,,9.53,6.22,,,,,
CD19_l112_FMC63,pos_control,CD19,CD19_l112,0.22,0.48,56.6,95.8,94.4,3.24,4.52,,96.5,,97.2,,14.6,,,,93,93.4,,,,,
CD19_l112_int_wildtype,parental,CD19,CD19_l112,0.85,3.79,60.5,98.3,99.4,17.4,19.6,,35.4,,47,,46,,,,26.2,21.1,,,,,
CD19_l112_nonint_4609,non-interface,CD19,CD19_l112,0.81,3.14,56.1,97.1,98.8,12.7,14.9,,22.6,,34,,31.8,,,,16,12.8,,,,,
CD19_l112_nonint_4914,non-interface,CD19,CD19_l112,0.95,1.21,0.72,1.47,46.3,16.1,17.5,,25.4,,33.3,,31.8,,,,18.5,16.4,,,,,
CD19_l112_nonint_0615,non-interface,CD19,CD19_l112,0.94,1.25,27,96.4,99.3,9.94,12.5,,21.4,,35.7,,33.9,,,,14.5,11,,,,,
CD19_l112_nonint_1470,non-interface,CD19,CD19_l112,0.87,0.93,10.7,91.4,98.3,17.8,18.8,,25.6,,32.8,,32.3,,,,18.3,17.7,,,,,
CD19_l112_nonint_2659,non-interface,CD19,CD19_l112,1.31,2.65,1.56,19.6,84.8,61,52.9,,54.7,,61.6,,59.9,,,,67.3,54.5,,,,,
CD19_l112_nonint_0508,non-interface,CD19,CD19_l112,0.95,0.73,0.93,1.17,25.2,21.6,22.8,,26,,37,,38.4,,,,22.1,20.2,,,,,
CD19_l112_nonint_3099,non-interface,CD19,CD19_l112,1.26,1.31,0.85,0.74,3.36,75.1,73.6,,71.1,,75.5,,75,,,,76.8,71.4,,,,,
CD19_l112_nonint_0872,non-interface,CD19,CD19_l112,1.79,0.8,0.96,2.34,65.4,23,24.9,,38.9,,53,,49.8,,,,30.9,25,,,,,
CD19_l112_nonint_3354,non-interface,CD19,CD19_l112,1.4,1.53,1.08,2.08,22,16.2,18.7,,25.3,,33.1,,33.1,,,,19.1,16.2,,,,,
