"binder_id","BCMA_1000_R1","BCMA_1000_R2","BCMA_100_R1","BCMA_100_R2","BCMA_parental_R1","BCMA_parental_R2","BCMA_parental_mean","BCMA_1000_mean","BCMA_100_mean","is_selected"
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i19_21_dldesign_0",14.3728,13.6814,36.1974,34.8645,2526.95,2411.24,2469.095,14.0271,35.53095,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i1_77_dldesign_0",53.4958,42.5754,70.852,65.9453,3730.25,4017.11,3873.68,48.0356,68.39865,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i20_83_dldesign_0",68.8544,54.8919,115.535,107.386,11910,12285.9,12097.95,61.87315,111.4605,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i20_99_dldesign_0",0,0,0,0,14.5327,7.06998,10.80134,0,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i21_11_dldesign_0",71.1894,57.788,76.8454,68.9182,10047.1,10040.7,10043.9,64.4887,72.8818,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i21_14_dldesign_0",0,0.233016,0,0.360357,304.318,361.685,333.0015,0.116508,0.1801785,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i22_96_dldesign_0",22.9342,23.468,57.7379,52.9724,3329.65,3044.68,3187.165,23.2011,55.35515,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i22_9_dldesign_0",0,0,0,0,178.895,110.949,144.922,0,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i23_40_dldesign_0",35.7503,32.7554,36.1381,25.5853,4760.89,5957.76,5359.325,34.25285,30.8617,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i23_84_dldesign_0",17.3304,20.2391,50.261,34.2339,4926.12,4602.93,4764.525,18.78475,42.24745,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i28_15_dldesign_0",34.972,33.5876,92.6298,69.3687,3662.88,4464.51,4063.695,34.2798,80.99925,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i2_17_dldesign_0",14.2171,9.12091,27.6525,26.8466,2170.82,1920.99,2045.905,11.669005,27.24955,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i32_48_dldesign_0",63.4581,43.4076,192.796,177.115,9316.18,7872.18,8594.18,53.43285,184.9555,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i33_97_dldesign_0",32294.6,31131.8,9130.77,8030.64,10767.6,9010.94,9889.27,31713.2,8580.705,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i35_21_dldesign_0",29.2125,25.7982,102.54,82.2514,3912.62,3790.25,3851.435,27.50535,92.3957,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i3_41_dldesign_0",320.041,302.388,798.42,662.966,29085.3,33711.8,31398.55,311.2145,730.693,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i43_51_dldesign_0",81.463,90.3104,404.462,295.943,8292.89,8660.04,8476.465,85.8867,350.2025,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i43_95_dldesign_0",2124.37,2631.72,3153.45,2560.87,8158.14,9290.51,8724.325,2378.045,2857.16,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i44_22_dldesign_0",9.02839,8.28871,0,0,846.768,631.957,739.3625,8.65855,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i50_39_dldesign_0",277.182,231.851,274.329,221.439,7922.54,7848.73,7885.635,254.5165,247.884,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i50_73_dldesign_0",89.8688,73.2669,220.033,189.908,10323,9827.52,10075.26,81.56785,204.9705,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i52_58_dldesign_0",182.851,137.879,131.972,111.801,4937.02,5285.12,5111.07,160.365,121.8865,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i55_32_dldesign_0",17586.2,19561.7,39026.2,40040.3,6388.47,6994.07,6691.27,18573.95,39533.25,TRUE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i55_42_dldesign_0",80.2696,51.9626,157.845,125.855,13514.5,11481.2,12497.85,66.1161,141.85,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i55_74_dldesign_0",3.94343,3.59511,1.06812,1.35134,367.03,208.13,287.58,3.76927,1.20973,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i58_8_dldesign_0",135.374,150.595,278.78,236.124,16328.1,19105.5,17716.8,142.9845,257.452,FALSE
