binder_id,M1000_Rep1,M1000_Rep2,M100_Rep1,M100_Rep2,M500_Rep1,M500_Rep2,Parental_Rep1,CD22_parental_mean,CD22_1000_mean,CD22_500_mean,CD22_100_mean
CD22_l59_s516048_mpnn1,21.5689,2.3261,1.47345,9.40112,1.991,3.38071,5220.43,5220.43,11.9475,2.685855,5.437285
CD22_l59_s516048_mpnn2,10.3,0.0,1.75863,5.14588,5.08047,2.34049,2218.48,2218.48,5.15,3.71048,3.452255
CD22_l59_s541470_mpnn1,2.90645,0.0581524,0.831784,4.15629,1.78503,0.650136,5102.66,5102.66,1.4823012,1.2175829999999999,2.494037
CD22_l59_s935229_mpnn1,14.3793,0.174457,3.25584,18.2085,5.97299,5.07106,4496.15,4496.15,7.2768785000000005,5.522025,10.73217
CD22_l59_s943680_mpnn1,36382.9,31571.8,15696.3,18081.7,34458.6,50521.5,18577.0,18577.0,33977.35,42490.05,16889.0
CD22_l59_s99228_mpnn1,4018.45,4260.48,0.90308,5.47574,0.54924,0.0,3598.48,3598.48,4139.465,0.27462,3.18941
CD22_l60_s354130_mpnn1,1147.7,1064.44,4.7261,12.4996,5.68043,5.97863,9832.77,9832.77,1106.0700000000002,5.82953,8.61285
CD22_l60_s370097_mpnn1,30.707,0.822599,7.21234,32.5688,8.68388,6.30849,16615.3,16615.3,15.7647995,7.4961850000000005,19.89057
CD22_l60_s477171_mpnn1,54.6662,29.5039,3.02381,8.74651,6.7904,8.24639,13547.4,13547.4,42.08505,7.518395,5.885160000000001
CD22_l60_s529867_mpnn1,7.62784,1.48068,8.19788,12.4678,2.35052,3.58718,8194.58,8194.58,4.55426,2.9688499999999998,10.332840000000001
CD22_l60_s669785_mpnn1,15.1579,0.10968,1.85908,12.4996,3.85225,5.23646,4646.43,4646.43,7.633789999999999,4.544355,7.17934
CD22_l61_s127626_mpnn1,6.90425,0.0518845,2.41458,2.29155,5.04174,3.73516,3050.03,3050.03,3.47806725,4.38845,2.353065
CD22_l61_s354365_mpnn2,14.2312,3.83945,4.85034,19.6803,2.73872,2.28041,6305.65,6305.65,9.035325,2.509565,12.26532
CD22_l61_s474761_mpnn1,7.74967,0.155653,3.98194,5.72887,2.30302,1.06157,2473.18,2473.18,3.9526615,1.6822949999999999,4.855404999999999
CD22_l61_s756644_mpnn1,8.21935,0.103769,1.67326,5.52667,3.61013,1.92656,1005.39,1005.39,4.1615595,2.768345,3.599965
CD22_l61_s819258_mpnn1,294903.0,305914.0,269901.0,269512.0,353441.0,334137.0,6076.12,6076.12,300408.5,343789.0,269706.5
CD22_l61_s819258_mpnn2,504317.0,542700.0,527514.0,477546.0,512516.0,439232.0,9783.2,9783.2,523508.5,475874.0,502530.0
CD22_l62_s133846_mpnn2,10.3282,0.171821,3.0293,5.35717,5.51354,4.73418,2298.24,2298.24,5.2500105,5.1238600000000005,4.193235
CD22_l62_s2145_mpnn1,12.4224,0.286369,2.28786,7.11042,1.32325,2.6301,5556.12,5556.12,6.3543845,1.9766750000000002,4.69914
CD22_l62_s22205_mpnn2,10.3758,2.1764,0.0,5.90912,2.86704,0.0751458,2781.58,2781.58,6.2761,1.4710929,2.95456
CD22_l62_s49667_mpnn1,17.4675,0.400916,9.29973,22.63,11.4682,7.70244,10252.0,10252.0,8.934208,9.58532,15.964865
CD22_l62_s617945_mpnn1,11.539,0.0,1.14831,5.99825,2.82457,4.26478,4431.26,4431.26,5.7695,3.544675,3.5732799999999996
CD22_l62_s617945_mpnn2,20.5403,2.06186,4.40187,18.0603,3.8652,4.15155,10062.1,10062.1,11.301079999999999,4.008375,11.231085
CD22_l62_s768397_mpnn2,20.1328,0.400916,2.96574,10.6819,2.05839,5.78623,6024.18,6024.18,10.266858,3.92231,6.82382
CD22_l63_s858722_mpnn1,21.8761,2.4326,2.83285,8.5494,2.22949,2.27494,2373.55,2373.55,12.15435,2.252215,5.691125
CD22_l63_s858722_mpnn2,16.9792,0.540579,1.24565,10.8996,3.48358,6.29399,8559.03,8559.03,8.7598895,4.888785,6.0726249999999995
CD22_l63_s917363_mpnn1,17.8945,2.32449,2.7324,11.3424,2.64752,1.13747,4808.89,4808.89,10.109495,1.892495,7.0374
CD22_l64_s189132_mpnn1,12.9349,0.116402,0.0,5.24859,1.85391,1.27017,3573.12,3573.12,6.525651000000001,1.56204,2.624295
CD22_l64_s247840_mpnn1,8.06691,1.97884,4.58535,4.65813,7.6805,5.66134,3427.72,3427.72,5.022875,6.670920000000001,4.62174
CD22_l64_s247840_mpnn2,86.6961,93.8204,2.13983,10.3004,5.49553,2.46776,4489.31,4489.31,90.25825,3.981645,6.220115
CD22_l64_s274709_mpnn1,15.2246,1.57143,2.56015,16.086,1.12559,2.14115,5740.13,5740.13,8.398015000000001,1.6333700000000002,9.323075
CD22_l64_s274709_mpnn2,17.6457,0.0,1.28008,9.66487,0.0,0.979847,3316.16,3316.16,8.82285,0.4899235,5.472475
CD22_l64_s571098_mpnn1,10.2459,9.95241,2.27357,8.29934,1.85391,0.834685,3160.9,3160.9,10.099155,1.3442975,5.286455
CD22_l64_s571098_mpnn2,3941.75,4537.89,61602.1,84294.5,4.23752,5.73392,5880.45,5880.45,4239.82,4.985720000000001,72948.3
CD22_l64_s867264_mpnn1,1.48357,0.0,0.0191056,1.18093,0.132422,1.48792,441.677,441.677,0.741785,0.810171,0.6000178
CD22_l64_s92066_mpnn1,9.45775,0.174604,1.05081,6.39672,3.64161,0.0725813,3888.87,3888.87,4.816177000000001,1.85709565,3.723765
CD22_l65_s672040_mpnn1,12.0811,2.4333,6.1934,26.5372,5.81009,6.43384,5047.39,5047.39,7.257199999999999,6.121964999999999,16.365299999999998
CD22_l65_s672040_mpnn2,23.132,4.8113,14.7294,37.5674,3.2446,6.69644,21166.5,21166.5,13.97165,4.9705200000000005,26.1484
