"binder_id","BCMA_M100.CD22_1","BCMA_M100.CD22_2","BCMA_M1000_1","BCMA_M1000_2","BCMA_M100_1","BCMA_M100_2","BCMA_M500_1","BCMA_Parental_1","BCMA_Parental_2","BCMA_parental_mean","BCMA_M1000_mean","BCMA_M500_mean","BCMA_M100_mean","is_selected","BCMA_parental_occupancy","logFC_100","logFC_1000","under_fc100_bcma_binders"
"BCMA_l62_s854335_mpnn2",0,1996.69,848.713,768.596,4821.93,4711.55,821.334,898.676,848.537,873.6065,808.6545,821.334,4766.74,FALSE,0.0008736064045585,2.44794744063889,-0.111460151935067,FALSE
"BCMA_l63_s483494_mpnn8",345.223,3530.55,31.8804,29.9014,0.228714,0.030759,0,6619.2,6535.94,6577.57,30.8909,0,0.1297365,FALSE,0.00657756928140056,-15.6296826527368,-7.73422898253691,FALSE
"BCMA_l63_s872964_mpnn13",0,1925.75,99.1662,89.7334,0.114357,0.123036,37.1513,6485.03,4319.66,5402.345,94.4498,37.1513,0.1186965,FALSE,0.00540234440979387,-15.474020759609,-5.83789422306628,FALSE
"BCMA_l63_s872964_mpnn7",1380.89,320.959,4.49347,4.46026,0,0,0,1558.7,1749.25,1653.975,4.476865,0,0,FALSE,0.00165397481930325,-Inf,-8.52923289846948,FALSE
"BCMA_l63_s890300_mpnn4",0,0,230.794,242.967,0,0,115.371,1341.52,1297.58,1319.55,236.8805,115.371,0,FALSE,0.00131954985583918,-Inf,-2.4778146719357,FALSE
"BCMA_l63_s890300_mpnn6",2761.78,0,1901.2,1847.81,0.190595,0,1496.6,2793.69,2795.2,2794.445,1874.505,1496.6,0.0952975,FALSE,0.00279444469470692,-14.8397638872368,-0.576052106460086,FALSE
"BCMA_l63_s961592_mpnn20",27272.6,21504.2,32212.1,32233.5,1126.57,1050.88,32360.2,21410.9,22977.3,22194.1,32222.8,32360.2,1088.725,FALSE,0.0221940975752948,-4.34946471043365,0.537905655803631,FALSE
"BCMA_l63_s961592_mpnn9",7940.12,11554.5,6964.96,6743.65,20230.8,18414.8,9878.08,2765.77,2726.49,2746.13,6854.305,9878.08,19322.8,TRUE,0.00274612969998533,2.81483233680689,1.3196104663843,FALSE
"BCMA_l64_s257143_mpnn10",0,2169.63,1738.8,1669.34,4511.79,4378.91,1979.38,438.496,419.7,429.098,1704.07,1979.38,4445.35,FALSE,0.000429097953121049,3.37291793071794,1.98960551808813,FALSE
"BCMA_l64_s257143_mpnn2",1001.15,3099.47,2746.52,2602.59,9797.75,9042.34,3755.6,3302.06,2933.87,3117.965,2674.555,3755.6,9420.045,FALSE,0.00311796465936236,1.59512921819213,-0.221305861671554,FALSE
"BCMA_l64_s348329_mpnn1",1668.58,0,380.545,325.466,2608.41,2427.26,1800.88,2857.75,2619.58,2738.665,353.0055,1800.88,2517.835,FALSE,0.00273866470080088,-0.121289060201172,-2.95571023627039,FALSE
"BCMA_l64_s348329_mpnn2",333.715,0,10.1831,9.64201,0.185436,0.0905525,42.8646,1249.08,1243.3,1246.19,9.912555,42.8646,0.13799425,FALSE,0.00124618986385376,-13.140628271308,-6.97405136421863,FALSE
"BCMA_l64_s586270_mpnn9",7341.74,7438.72,2044.2,1996.18,446.455,400.816,359.634,15293.3,15823.1,15558.2,2020.19,359.634,423.6355,FALSE,0.0155581983002668,-5.19870785769226,-2.94511226718094,FALSE
"BCMA_l64_s643480_mpnn2",0,0,2.2629,1.97949,0,0,0.0342916,1136.79,1133.87,1135.33,2.121195,0.0342916,0,FALSE,0.00113532987596521,-Inf,-9.06401873027576,FALSE
"BCMA_l64_s745494_mpnn3",2002.29,4959.15,10764.3,9944.84,2426.83,2251.53,9900.53,4306.51,4302.3,4304.405,10354.57,9900.53,2339.18,FALSE,0.00430440452974381,-0.879810945559484,1.26638191112281,FALSE
"BCMA_l64_s766805_mpnn1",6340.59,19216.7,12219.4,12231.4,27535.1,26120.8,15752.6,4209.89,4533.54,4371.715,12225.4,15752.6,26827.95,TRUE,0.00437171452239019,2.61746556108522,1.48361041185943,FALSE
"BCMA_l64_s766805_mpnn3",31703,22006.2,35853.7,35392.9,68234.6,62691.5,34104.2,10041.7,10315,10178.35,35623.3,34104.2,65463.05,TRUE,0.0101783488880154,2.68517711397547,1.80731746130615,FALSE
"BCMA_l64_s792375_mpnn1",4338.3,6508.88,4739.19,4684.84,9177.17,8355.16,4367.33,993.052,1017.69,1005.371,4712.015,4367.33,8766.165,FALSE,0.00100537089016323,3.12421785395564,2.22861615167894,FALSE
"BCMA_l64_s814818_mpnn1",38043.5,40913,50472.3,50771.2,49429.9,46570.7,52015.9,13398,13695.3,13546.65,50621.75,52015.9,48000.3,TRUE,0.0135466485200286,1.82510729623108,1.90182125603364,FALSE
"BCMA_l64_s888556_mpnn10",667.431,2479.57,63.529,69.1224,0.0370871,0.211289,149.254,5791.89,6348.58,6070.235,66.3257,149.254,0.12418805,FALSE,0.0060702343368269,-15.5769383920259,-6.51604056239464,FALSE
"BCMA_l64_s888556_mpnn20",1668.58,3409.41,4239.76,4260.75,1581.69,1472.9,6231.1,24667.6,27810.4,26239,4250.255,6231.1,1527.295,FALSE,0.0262389971333896,-4.10266208463618,-2.6260914326835,FALSE
