cytokine,construct,target,rep1,rep2,rep3,donor
IL-2,B2,K BCMA mC,92.577,0,0,2
IL-2,B2,Raji,3.186,0,0,2
IL-2,B2,RPMI mC,0,0,0,2
IL-2,B5,CAR alone,0,0,0,2
IL-2,B5,K562 mC,0,0,0,2
IL-2,B5,K BCMA mC,3694.4235,3985.1325,3558.2775,2
IL-2,B5,Raji,154.7355,136.0005,113.0835,2
IL-2,B5,RPMI mC,463.707,495.2025,485.9355,2
GranzymeB,UTD,CAR alone,19.848,17.553,26.877,2
GranzymeB,UTD,K562 mC,19.794,10.994,17.111,2
GranzymeB,UTD,K BCMA mC,21.157,22.611,24.732,2
GranzymeB,UTD,Raji,33.771,27.572,32.578,2
GranzymeB,UTD,RPMI mC,68.947,68.429,72.114,2
GranzymeB,NB,CAR alone,17.032,13.768,11.943,2
GranzymeB,NB,K562 mC,31.633,14.437,16.26,2
GranzymeB,NB,K BCMA mC,28.462,15.852,19.59,2
GranzymeB,NB,Raji,22.877,25.646,28.933,2
GranzymeB,NB,RPMI mC,62.645,65.513,57.528,2
GranzymeB,Abecma,CAR alone,26.878,23.172,24.283,2
GranzymeB,Abecma,K562 mC,37.262,40.961,36.697,2
GranzymeB,Abecma,K BCMA mC,2730.705,2273.573,2353.559,2
GranzymeB,Abecma,Raji,775.27,649.703,598.794,2
GranzymeB,Abecma,RPMI mC,2146.26,1802.349,1849.222,2
GranzymeB,B2,CAR alone,14.125,9.632,12.71,2
GranzymeB,B2,K562 mC,20.282,20.239,17.861,2
GranzymeB,B2,K BCMA mC,695.878,600.609,592.086,2
GranzymeB,B2,Raji,54.341,52.694,53.619,2
GranzymeB,B2,RPMI mC,371.068,351.729,342.433,2
GranzymeB,B5,CAR alone,27.403,26.358,22.279,2
GranzymeB,B5,K562 mC,27.755,23.172,31.53,2
GranzymeB,B5,K BCMA mC,3437.19,3037.609,3037.277,2
GranzymeB,B5,Raji,634.597,521.711,518.067,2
GranzymeB,B5,RPMI mC,1698.08,1204.65,1373.624,2
TNFa,UTD,CAR alone,0,0,0,3
TNFa,UTD,K562 mC,0,0,0,3
TNFa,UTD,K BCMA mC,0,0,0,3
TNFa,UTD,Raji,0,0,0,3
TNFa,UTD,RPMI mC,0,0,0,3
TNFa,NB,CAR alone,0,0,0,3
TNFa,NB,K562 mC,0,0,0,3
TNFa,NB,K BCMA mC,0,0,17.892,3
TNFa,NB,Raji,34.887,21.437,50.674,3
TNFa,NB,RPMI mC,0,0,0,3
TNFa,Abecma,CAR alone,0,0,0,3
TNFa,Abecma,K562 mC,0,0,0,3
TNFa,Abecma,K BCMA mC,6222.575,5901.529,6306.606,3
TNFa,Abecma,Raji,3109.928,3152.801,3188.619,3
TNFa,Abecma,RPMI mC,2837.655,2918.694,2590.429,3
TNFa,B2,CAR alone,0,0,0,3
