elapsed_hours,cellline,donor,NB,Abecma,X561726_WT,int_1525,nonint_0366
28,Raji,donor3,1.910135,3.899387,5.854286,4.636951,6.148324
32,Raji,donor3,3.112473,4.292096,7.04607,5.984082,7.144777
36,Raji,donor3,3.358813,5.348226,5.709183,3.696904,5.281574
40,Raji,donor3,4.384446,5.865249,8.711948,7.008871,10.34799
44,Raji,donor3,5.610231,6.674622,8.866162,7.270118,11.80704
48,Raji,donor3,6.343016,7.064763,6.85673,4.844939,8.644083
52,Raji,donor3,7.902805,7.886477,9.786981,9.884712,15.75891
56,Raji,donor3,9.584865,8.504878,11.06672,10.00288,16.84893
60,Raji,donor3,11.48801,9.352649,9.969606,6.807304,13.8562
64,Raji,donor3,14.70322,9.722116,11.57435,7.064449,14.79248
68,Raji,donor3,16.88332,10.69187,11.0747,7.931819,15.71932
72,Raji,donor3,20.74251,11.51937,16.56964,12.0851,24.09315
0,RPMI-8226,donor3,0,0,0,0,0
4,RPMI-8226,donor3,0.6719463,2.568841,3.114936,2.884828,1.519733
8,RPMI-8226,donor3,0.9363827,4.286829,4.859443,4.959082,2.015305
12,RPMI-8226,donor3,1.35927,6.592593,8.054738,5.899762,2.588237
16,RPMI-8226,donor3,1.841634,6.767904,8.71229,5.858276,2.196313
20,RPMI-8226,donor3,2.218773,6.508536,10.01013,5.339849,2.996521
24,RPMI-8226,donor3,3.433414,6.019847,14.20472,5.09096,4.757217
28,RPMI-8226,donor3,4.020103,4.72319,16.77374,4.666752,6.70513
32,RPMI-8226,donor3,6.066658,3.830844,21.17453,4.43186,7.056088
36,RPMI-8226,donor3,5.899885,3.988486,20.05244,3.092129,7.983791
40,RPMI-8226,donor3,6.686695,3.298059,16.52931,1.60307,11.94438
44,RPMI-8226,donor3,8.175324,1.736807,21.97304,1.130232,12.8824
48,RPMI-8226,donor3,12.16105,1.260686,23.31153,0.5950751,13.76905
52,RPMI-8226,donor3,14.08302,0.6360304,26.12497,0.5790916,17.7837
56,RPMI-8226,donor3,17.61617,0.4757966,30.71484,0.4816886,21.14577
60,RPMI-8226,donor3,21.8782,0.5444645,34.86172,0.3236046,24.47466
64,RPMI-8226,donor3,25.4454,0.5069528,38.08699,0.1553655,26.30666
68,RPMI-8226,donor3,25.21563,0.9454004,41.23316,0.1876743,34.27668
72,RPMI-8226,donor3,29.48388,0.6906655,58.53696,0.3525023,37.02416
